v1881	vInt.Sym.Wikis
v906	vSAS
v453	vESWC
v452	vEPEW
v455	vFIMH
v454	vFinancialCryptography
v901	vRuleML
v456	vFMOODS/FORTE
v459	vGECCO
v458	vGECSummit
v909	vSC-MTAGS
v908	vSC
v1709	vHPCS
v1708	vHoHotOS
v1703	vEuroHaptics()
v1702	vGestureWorkshop
v1701	vGREC
v1700	vGPCWorkshops
v1707	vHotOS
v1706	vHIS
v1705	vHiPC
v1704	vWorldHaptics
v1563	vIEEET.Haptics
v1562	vITProfessional
v1561	vJ.IntegrativeBioinformatics
v1560	vOptimizationLetters
v1567	vAnnalsofGIS
v1566	vIJKESDP
v1565	vEarthScienceInformatics
v1564	vAdvancesinAdaptiveDataAnalysis
v1569	vCryptographyandCommunications
v1568	vTOCT
v2044	vICWSM
v1093	vDecisionSupportSystems
v1092	vDistributedandParallelDatabases
v1091	vDistributedComputing
v1090	vDATABASE
v1097	vIntell.DataAnal.
v1096	vExpertSyst.Appl.
v1095	vEngineeringLetters
v1094	vEvolutionaryComputation
v1099	vInformationEconomicsandPolicy
v1098	vIEEESecurity&Privacy
v2576	vIJNMC
v1141	vT.Comp.Sys.Biology
v1140	vT.Aspect-OrientedSoftwareDevelopment
v1143	vTelecommunicationSystems
v1142	vT.DataHidingandMultimediaSecurity
v1145	vTOMCCAP
v1144	vInf.Soc.
v1147	vTSLP
v1146	vT.RoughSets
v1149	vTheVisualComputer
v1148	vIEEETrans.Vis.Comput.Graph.
v1419	vICECS
v1418	vSSME
v1998	vFTVI/FTRI
v600	vSoftwareandSystemModeling
v601	vSTTT
v602	vIEEETrans.CircuitsSyst.VideoTechn.
v603	vIEEETrans.Mob.Comput.
v604	vACMTrans.Softw.Eng.Methodol.
v605	vComputerSpeech&Language
v606	vIEEETransactionsonAudio,Speech&LanguageProcessing
v607	vFoundationsandTrendsinDatabases
v608	vIJCSA
v609	vISSE
v1891	vIESS
v1890	vEuropeanTestSymposium
v1897	vLSMS/ICSEE
v1896	vIEEECongressonEvolutionaryComputation
v1895	vNOCS
v1894	vISVD
v1183	vECEASST
v1182	vIJACT
v1967	vSiPS
v1966	vCDC
v1965	vComplex
v1964	vCIBB
v1963	vAST/UCMA/ISA/ACN
v1962	vLectureNotesInElectricalEngineering
v1961	vICCVG
v1960	vICCVG()
v1969	vITRevolutions
v1968	vLTC
v118	vTangibleandEmbeddedInteraction
v119	vISBRA
v114	vMIRAGE
v1189	vConcurrentEngineering:R&A
v116	vPAISI
v117	vSPECBenchmarkWorkshop
v110	vWALCOM
v111	vICDS
v112	vHRI
v1188	vInformationSecurityJournal:AGlobalPerspective
v2544	vJITR
v2545	vJGIM
v2546	vJECO
v2547	vIRMJ
v2540	vJAISE
v2541	vIJKSR
v2542	vJ.CasesonInf.Techn.
v2543	vJOEUC
v2548	vIJWLTT
v2549	vIJWP
v2204	vSemanticsinAdaptiveandPersonalizedServices
v1413	vCSO()
v1412	vSISAP
v334	vWirelessCommunicationsandMobileComputing
v335	vJ.WebSem.
v336	vInt.J.CommunicationSystems
v337	vSpeechCommunication
v330	vIEEETransactionsonSystems,Man,andCybernetics,PartA
v331	vJ.Vis.Lang.Comput.
v332	vVLDBJ.
v333	vWirtschaftsinformatik
v338	vJournalofGraphTheory
v339	vAppliedMathematicsandComputation
v1411	vARTCOM
v2614	vJNIT
v2615	vIJCIS
v2610	vIJCMAM
v2611	vIJITBAG
v2612	vIJGBL
v2613	vJ.ofIT&Tourism
v848	vK-CAP
v849	vKDDWorkshoponHumanComputation
v842	vICPC
v843	vIWSEC
v840	vIWDW
v841	vICEC
v846	vJISBD
v847	vJSSPP
v844	vIWSM/Mensura
v845	vJFLA
v2058	vVS-GAMES
v2059	vNETCOM
v2052	vHumanVisionandElectronicImaging
v2053	vEKNOW
v2050	vIEEEConf.ofIntelligentSystems
v2051	vComputationalImaging
v2056	vNCM
v2057	vCNL
v2054	vDigitalPhotography
v2055	vMVHI
v590	vInt.J.WebServiceRes.
v591	vKI
v592	vJ.Log.Comput.
v593	vNaturalComputing
v594	vNeuralProcessingLetters
v595	vIEEETrans.PatternAnal.Mach.Intell.
v596	vParallelProcessingLetters
v597	vACMQueue
v598	vSIGMODRecord
v599	vIEEESoftware
v1628	vInscrypt
v1629	vCLEF
v1620	vComputersandTheirApplications
v1621	vCBMS
v1622	vCCCG
v1623	vCCIA
v1624	vCGI
v1625	vCGO
v1626	vCIAC
v1627	vCIBCB
v30	vEACL(StudentResearchWorkshop)
v31	vECBS
v32	vECIR
v33	vEDBT
v34	vEMO
v35	vESOP
v36	vEUROCRYPT
v37	vEuroGP
v38	vEvoCOP
v39	vEvoWorkshops
v1385	vIMF
v932	vSIGGRAPHMusic&Audio
v933	vSIGITEConference
v930	vSIGGRAPHTalks
v931	vSIGGRAPHPosters
v936	vESEC/SIGSOFTFSE
v937	vSIGUCCS
v934	vKEYS
v935	vDBTest
v1383	vExaCt
v938	vSLIP
v939	vSymposiumonSolidandPhysicalModeling
v1382	vNBiS
v1714	vICAPP()
v1715	vICADL
v1716	vICAISC()
v1717	vICCAD
v1710	vHT
v1381	vIWSOS
v1712	vIADISAC
v1713	vLVA/ICA
v1380	vMOMPES
v1718	vICCHP()
v1719	vICEIS(SelectedPapers)
v1794	vMobIS
v1795	vModellierung
v1796	vMoDELSWorkshops
v1797	vMPC
v1578	vLectureNotesinComputerScience
v1579	vCIT
v1574	vInterfaces
v1575	vDecisionAnalysis
v1576	vManagementScience
v1577	vCSWS
v1570	vI.J.Computer-SupportedCollaborativeLearning
v1571	vJournalofZhejiangUniversity-ScienceC
v1572	vJ.LocationBasedServices
v1573	vAutomatisierungstechnik
v1088	vComputinginScienceandEngineering
v1089	vGraphicalModels
v1084	vBMCBioinformatics
v1085	vComputationalLinguistics
v1086	vConnect.Sci.
v1087	vConstraints
v1080	vEICS
v1081	vfdg
v1082	vAdvancesinComputers
v1083	vActaCybern.
v451	vECSQARU
v450	vECMDA-FA
v905	vSAGA
v1152	vWorldWideWeb
v1153	vJ.VisualCommunicationandImageRepresentation
v1150	vJournalinComputerVirology
v1151	vWirelessNetworks
v1156	vSignalProcessingSystems
v1157	vIntelligentDecisionTechnologies
v1154	vMicroprocessorsandMicrosystems-EmbeddedHardwareDesign
v1155	vWebIntelligenceandAgentSystems
v1408	vICTA
v903	vSelectedAreasinCryptography
v1158	vIJWMC
v1159	vIJAMC
v902	vReasoningWeb
v1884	vAIIDE
v1885	vGrC
v1886	vVTCSpring
v1887	vVTCFall
v1880	vCRITIS
v457	vFSE
v1882	vVISAPP()
v1883	vCollaborateCom
v900	vRECOMB-CG
v1888	vSymposiumonComputerAnimation
v1889	vIPCCC
v613	vIJIPT
v612	vIJNVO
v611	vIJISTA
v610	vIJSN
v617	vFoundationsandTrendsinMachineLearning
v616	vIEEETransactionsonSignalProcessing
v615	vIEEETransactionsonNeuralNetworks
v614	vIJIIDS
v619	vTIIS
v618	vFoundationsandTrendsinNetworking
v1970	vICCCI(SCIVolume)
v1971	vAccessNets
v1972	vLerNetALFASummerSchool
v1973	vKRAMAS
v1974	vFITraMEn
v1975	vISIPS
v1976	vABiALS
v1977	vACIIDS()
v1978	vILC
v1979	vAPSCC
v109	vGRAPP
v108	vVISSAPP()
v107	vVEE
v106	vPSIVT
v105	vWICOW
v104	vWWW
v103	vWissensmanagement
v102	vWEBIST
v101	vWAW
v100	vAPWeb/WAIM
v2187	vJ.MultivariateAnalysis
v2531	vIEEET.InstrumentationandMeasurement
v2530	vBIAA
v2533	vCartographica
v2532	vIJERTCS
v2535	vIJOCI
v2534	vIJMBL
v2537	vIJGC
v2536	vControlandIntelligentSystems
v2539	vACMTIST
v2538	vIJMDEM
v56	vLaw,OntologiesandtheSemanticWeb
v57	vICCPOL
v54	vHPCA
v55	vHSCC
v1336	vISMVL
v1337	vISSEP
v50	vGPC
v2289	vMcGrawHillseriesincomputerscience
v2288	vAppliedcomputing
v2287	vInformatikLehrbuch-Reihe
v2286	vGIJahrestagung()
v2285	vICGT
v51	vGROUP
v2283	vEKAW
v2282	vPerspectivesinneuralcomputing
v2281	vECCV()
v2280	vForschenundWissenInformatik
v2449	vPAAMS(SpecialSessionsandWorkshops)
v2448	vAICI()
v2445	vDLS
v2444	vAICOLWorkshops
v2447	vWICON
v2446	vPIMRC
v2441	vIOT
v2440	vSOCA
v2443	vSECON
v2442	vServiceWave
v327	vTPLP
v326	vIEEETrans.ParallelDistrib.Syst.
v325	vTOSN
v324	vTOS
v323	vACMTrans.Program.Lang.Syst.
v322	vIEEE/ACMTrans.Netw.
v321	vACMTrans.Math.Softw.
v320	vACMTrans.Model.Comput.Simul.
v329	vTechniqueetScienceInformatiques
v328	vIEEETrans.SoftwareEng.
v2199	vAdvancesinIntelligentInformationSystems
v2198	vFromMotorLearningtoInteractionLearninginRobots
v2193	vParallelandDistributedComputationalIntelligence
v2192	vIntelligentMultimediaCommunication
v2191	vEvolutionaryAlgorithmsandChaoticSystems
v2190	vAdvancesinIntelligentInformationandDatabaseSystems
v2197	vAdvancesinMachineLearningI
v2196	vAnalogCircuitsandSystemsOptimizationbasedonEvolutionaryComputationTechniques
v2195	vIntelligentMultimediaAnalysisforSecurityApplications
v2194	vConstructiveNeuralNetworks
v42	vEGC
v855	vKDDWorkshoponDataMiningusingMatricesandTensors
v854	vKDDWorkshoponStatisticalandRelationalLearninginBioinformatics
v857	vKES()
v856	vKDDWorkshoponDataMiningandAudienceIntelligenceforAdvertising
v851	vKDDWorkshoponKnowledgeDiscoveryfromUncertainData
v850	vKDDWorkshoponCyberSecurityandIntelligenceInformatics
v853	vKDDWorkshoponVisualAnalyticsandKnowledgeDiscovery
v852	vKDDWorkshoponKnowledgeDiscoveryfromSensorData
v859	vLICS
v858	vKSEM
v2067	vITBAM
v2066	vETM
v2065	vDPH
v2064	vAAIP
v2063	vFormaltoPracticalSecurity
v2062	vNSS
v2061	vNEMS
v2060	vMEMICS
v2069	vTowardsTrustworthyElections
v2068	vMACOM
v2265	vAutomatedGrammaticalErrorDetectionforLanguageLearners
v2264	vBasicFeedbackControlsinBiomedicine
v2267	vCross-LanguageInformationRetrieval
v2266	vMATLABSoftwarefortheCodeExcitedLinearPredictionAlgorithm:TheFederalStandard-
v2261	viRODSPrimer:IntegratedRule-OrientedDataSystem
v2260	vTheComplexityofNoise
v2263	vData-IntensiveTextProcessingwithMapReduce
v2262	vAdvancesinModernBlindSignalSeparationAlgorithms:TheoryandApplications
v2269	vEstimatingtheQueryDifficultyforInformationRetrieval
v2268	vMultidimensionalDatabasesandDataWarehousing
v583	vInt.J.WebEng.Technol.
v582	vInt.J.SemanticWebInf.Syst.
v581	vIJKL
v580	vLogicJournaloftheIGPL
v587	vJ.Comput.Sci.Technol.
v586	vJ.Artif.Intell.Res.(JAIR)
v585	vJACIII
v584	vInformationFusion
v589	vJ.Sci.Comput.
v588	vJ.DataSemantics
v442	vDCC
v1369	vWG
v1368	vCEC
v1365	vSIGGRAPHASIAArtGallery&EmergingTechnologies
v1364	vSIGGRAPHASIACourses
v1367	vWCRE
v1366	vCW
v1361	vSIGGRAPHASIAPosters
v1360	vOWLED
v1363	vSIGGRAPHASIAEducatorsProgram
v1362	vSIGGRAPHASIAAnimations
v929	vSIGDOC
v928	vMobiHeld
v925	vWREN
v924	vSIGCOMM
v927	vVISA
v926	vWOSN
v921	vSEUS
v920	vSoftwareEngineeringResearchandPractice
v923	vPRESTO
v922	vSID
v1761	vISBMS
v1760	vISBI
v1763	vISM
v1762	vISER
v1765	vISSRE
v1764	vISPDC
v1767	vIntelligentTutoringSystems()
v1766	vITNG
v1769	vJELIA
v1768	vIWPT
v1509	vComputerSupportedCooperativeWork
v1508	vCombinatorica
v1501	vIJCCI
v1500	vKMIS
v1503	vAnn.Math.Artif.Intell.
v1502	vArtif.Intell.Rev.
v1505	vComputerCommunicationReview
v1504	vArch.Math.Log.
v1507	vClusterComputing
v1506	vComputers&Graphics
v1417	vEIG
v1416	vCIIA
v1415	vCSIE()
v1414	vAPPS
v1169	vFoundationsandTrendsinRobotics
v1168	vFoundationsandTrendsinElectronicDesignAutomation
v1167	vFoundationsandTrendsinHuman-ComputerInteraction
v1166	vFoundationsandTrendsinTheoreticalComputerScience
v1165	vFoundationsandTrendsinInformationRetrieval
v1164	vIEEEPervasiveComputing
v1163	vComputerPhysicsCommunications
v1162	vScholarpedia
v1161	vIEEETransactionsonWirelessCommunications
v1160	vIJDMB
v1215	vHealthInformaticsJournal
v1214	vT.Large-ScaleData-andKnowledge-CenteredSystems
v1217	vIJOSSP
v1216	vI.J.KnowledgeandWebIntelligence
v1211	vI.J.InformationAcquisition
v1210	vI.J.HumanoidRobotics
v1213	vEnterpriseModellingandInformationSystemsArchitectures
v1212	vResearchandPracticeinTechnologyEnhancedLearning
v1410	vVRCAI
v1219	vI.J.ComputationalBiologyandDrugDesign
v1218	ve-Minds
v2295	vAPMS
v1185	vI.J.RoboticsandAutomation
v1184	vT.Edutainment
v1187	vBehaviour&IT
v1186	vTran.CBR
v1181	vPVLDB
v1180	vJ.CognitiveNeuroscience
v628	vI.J.ArtificialIntelligenceinEducation
v629	vI.J.AdvancedCorporateLearning
v626	vComputerStandardsInterfaces
v627	vJ.InformationScience
v624	vJ.DataandInformationQuality
v625	vComputerStandards&Interfaces
v622	vIJDWM
v623	vCognitiveComputation
v620	vPervasiveandMobileComputing
v621	vElectronicNotesinDiscreteMathematics
v2459	vMTPP
v1989	vJCAI
v1988	vESIAT
v2457	vREALWSN
v1985	vISCID
v1984	vICCNSM
v1987	vIFITA
v1986	vICASSP
v1981	vBLISS
v1980	vSERVICES
v1983	vCSIE
v1982	vARTComE
v138	vSanskritComputationalLinguistics
v139	vICLA
v132	vFOAL
v133	vIDtrust
v130	vMOBILWARE
v131	vWKDD
v136	vLATA
v137	vVaMoS
v134	vBangaloreComputeConf.
v135	vTRUST
v2451	vRFIDSec
v2522	vJSAT
v2523	vComputers&ChemicalEngineering
v2520	vIEEETrans.IndustrialInformatics
v2521	vIJTD
v2526	vProcediaCS
v2527	vSemanticWeb
v2524	vComputerMusicJournal
v2525	vJ.OptimizationTheoryandApplications
v2528	vIJT
v2529	vComputers&MathematicswithApplications
v1682	vETRA
v168	vAnn.PureAppl.Logic
v1899	vECSACompanionVolume
v1898	vLSMS/ICSEE()
v2298	vISI
v2299	vTextsintheoreticalcomputerscience
v2290	vIBERAMIA
v2291	vICDEWorkshops
v2292	vICPR
v2293	vICSOC
v2294	vICWEWorkshops
v1688	vFDTC
v2296	vIJCNN
v2297	vISADS
v161	vArtif.Intell.
v1689	vFLOPS
v2458	vAmsterdamColloquiumonLogic,LanguageandMeaning
v160	vAdvancedEngineeringInformatics
v2456	vIWEI
v972	vIPCV
v2454	vSEMCCO
v2455	vMASS
v2452	vGameSec
v2453	vISITA
v2450	vLDTA
v973	vSAMT
v312	vACMTrans.Comput.-Hum.Interact.
v313	vACMTrans.Comput.Log.
v310	vTheJournalofSupercomputing
v311	vIEEETrans.Knowl.DataEng.
v316	vACMTrans.DatabaseSyst.
v317	vACMTrans.Graph.
v314	vACMTrans.Comput.Syst.
v315	vACMTrans.DesignAutom.Electr.Syst.
v318	vACMTrans.Inf.Syst.
v319	vACMTrans.InternetTechn.
v1680	vESSLLIStudentSessions
v2184	vTransactionsonPatternLanguagesofProgramming
v2185	vJ.AmbientIntelligenceandHumanizedComputing
v2186	vIJISSCM
v1681	vESWC()
v2180	vJ.Simulation
v2181	vJ.Real-TimeImageProcessing
v2182	vT.ComputationalCollectiveIntelligence
v2183	vIEEESystemsJournal
v1686	vFinancialCryptographyWorkshops
v2188	vHandbookofInformationandCommunicationSecurity
v2189	vApplicationsofNeuralNetworksinHighAssuranceSystems
v1687	vFCCM
v978	vCHINZ
v979	vCreativity&Cognition
v820	vIKE
v821	vIMAConferenceontheMathematicsofSurfaces
v822	vInternetMeasurementConference
v823	vIndustrialConferenceonDataMining-WorkshopDMM
v824	vIndustrialConferenceonDataMining-Posters
v825	vIndustrialConferenceonDataMining-IndustryProceedings
v826	vINTERACT()
v827	vIPMI
v828	vIPOM
v829	vIPDPS
v2070	vReplication
v2071	vICOODB
v2072	vIALP
v2073	vNDT()
v2074	vNOTERE
v2075	vIC
v2076	vIC()
v2077	vIIR
v2078	vGeoinformatics
v2079	vI-SEMANTICS
v2276	vPrinciplesandApplicationsofDistributedEvent-BasedSystems
v2277	vAAMAS
v2274	vConferenceonDesigningInteractiveSystems
v2275	vDatabaseTechnologies:Concepts,Methodologies,Tools,andApplications
v2272	vTheStructureandPropertiesofColorSpacesandtheRepresentationofColorImages
v2273	vAccessControlinDataManagementSystems
v2270	vIntroductiontoReconfigurableSupercomputing
v2271	vBiomedicalImageAnalysis:Segmentation
v2278	vPrincipleAdvancementsinDatabaseManagementTechnologies
v2279	vInformationstechnologienfürdiePraxis
v1611	vRigorousMethodsforSoftwareConstructionandAnalysis
v1751	vINEX
v18	vASIACCS
v19	vCHI
v1378	vIISWC
v1379	vSASO
v12	vASPLOS
v13	vAutomata,FormalLanguages,andRelatedTopics
v10	vARCS
v11	vGPGPU
v16	vCATA
v17	vCC
v14	vBIS
v15	vBTW
v958	vMSVVEIS
v959	vWGIS
v488	vISMM
v489	vJCDL
v1663	vECAI
v950	vTrustBus
v483	vISNN()
v952	vUC
v953	vUIC
v954	vUIST
v955	vUMAP
v956	vUSAB
v957	vVRST
v1772	vWebKDD/SNA-KDD
v1773	vPinKDD
v1770	vJSAI-isAIWorkshops
v1771	vJSAI
v1776	vKR
v1777	vLATIN
v1774	vSNAKDD
v1775	vKiVS
v1778	vLCN
v1779	vLCPC
v1518	vIJDAR
v1519	vInternationalJournalofParallelProgramming
v1512	vEducationalTechnology&Society
v1513	vJ.GridComput.
v1510	vElectronicCommerceResearch
v1511	vEnvironmentalModellingandSoftware
v1516	vi-com
v1517	vIEEEMultiMedia
v1514	vJ.Heuristics
v1515	vInt.ArabJ.Inf.Technol.
v554	vWSOM
v555	vIWCC
v556	vINTENSIVE
v557	vMCSS
v550	vCTW
v551	vGSN
v552	vZEUS
v553	vEATIS
v558	vFMN
v559	vISA
v1178	vKESJournal
v1179	vJournalofDecisionSystems
v1170	vFoundationsandTrendsinWebScience
v1171	vFoundationsandTrendsinComputerGraphicsandVision
v1172	vFoundationsandTrendsinCommunicationsandInformationTheory
v1173	vScienceinChinaSeriesF:InformationSciences
v1174	vJOCCH
v1175	vJIKM
v1176	vAPJOR
v1177	vCryptologia
v1206	vJ.MedicalSystems
v1207	vJ.Classification
v1204	vComputersinIndustry
v1205	vT.GIS
v1202	vAdv.DataAnalysisandClassification
v1203	vT.Mass-DataAnalysisofImagesandSignals
v1200	vAnnualReviewsinControl
v1201	vI.J.MedicalInformatics
v1208	vAlgorithmsforMolecularBiology
v1209	vCognition,Technology&Work
v639	vCreatingBrain-LikeIntelligence
v1197	vSIGSPATIALSpecial
v1194	vEcologicalInformatics
v1195	vInformationSystemsResearch
v1192	vTransportationScience
v1193	vJ.Informetrics
v1190	vJ.GlobalOptimization
v1191	vStatisticalAnalysisandDataMining
v631	vJITE
v630	vAppliedMathematicsandComputerScience
v633	vIntelligentUnmannedSystems
v632	vComputers&Education
v635	vComplexSystemsinKnowledge-basedEnvironments
v634	vNature-InspiredAlgorithmsforOptimisation
v1198	vJIPS
v1199	vI.J.SocialRobotics
v1431	vWHC
v1430	vFSTTCS
v1433	vICAC
v1432	vIADISAC()
v1435	vICICS
v1434	vICDMWorkshops
v125	vWISEC
v124	vACHI
v127	vHEALTHINF
v126	vBIOSIGNALS
v121	vWSDM(LateBreaking-Results)
v120	vAIRWeb
v123	vBPSC
v122	vWSDM
v1996	vEUROSEC
v1997	vSBP
v1994	vIUCS
v1436	vICNP
v129	vICUIMC
v128	vBIODEVICES
v1990	vSNA
v1991	vHPCA(China)
v115	vARC
v2519	vGenomics,Proteomics&Bioinformatics
v2518	vAutomaticControlandComputerSciences
v2517	vJDIM
v2516	vJ.ComputinginHigherEducation
v2515	vAlgorithmicOperationsResearch
v2514	vIEEETransactionsonReliability
v2513	vIEEETransactionsonMultimedia
v2512	vSIGMETRICSPerformanceEvaluationReview
v2511	vTheNewReviewofHypermediaandMultimedia
v2510	vNotreDameJournalofFormalLogic
v113	vICDCN
v2469	vIMAGAPP/IVAPP
v2468	vWirelessDays
v2463	vAH
v2462	vISDF
v2461	vUCMedia
v2460	vICSOB
v2467	vIWSDS
v2466	vSocialCom/PASSAT
v2465	vPGCIC
v2464	vAND
v309	vIEEETransactionsonInformationTheory
v308	vACMTrans.Inf.Syst.Secur.
v305	vTelematicsandInformatics
v304	vACMTrans.EmbeddedComput.Syst.
v307	vIEEETransactionsonImageProcessing
v306	vIEEET.FuzzySystems
v301	vIEEE/ACMTrans.Comput.BiologyBioinform.
v300	vIEEETrans.onCADofIntegratedCircuitsandSystems
v303	vIEEETrans.DependableSec.Comput.
v302	vTheor.Comput.Sci.
v2425	vFoSER
v833	vISPD
v832	vISMIS
v831	vISLPED
v830	vISCC
v837	vIV
v836	vISC
v835	vISSTA
v834	vISSAC
v839	vIWCIA
v838	vIVA
v1725	vICLP(TechnicalCommunications)
v2089	vCSP
v2088	vComputers&Security
v1724	vICISC
v2085	vComputationalIntelligence
v2084	vComputationalBiologyandChemistry
v2087	vComputerLanguages,Systems&Structures
v2086	vComputersinEntertainment
v2081	vAdvancedRobotics
v1727	vICMLA
v2083	vComputer-AidedDesign
v2082	vBioinformatics[ISMB]
v2243	vOnlineMultiplayerGames
v2242	vPerformanceModeling,LossNetworks,andStatisticalMultiplexing
v2241	vOutoftheComfortZone
v1726	vICME
v2247	vIntroductiontoArabicNaturalLanguageProcessing
v2246	vDataIntegration:TheRelationalLogicApproach
v2245	vAlgorithmsforReinforcementLearning
v2244	vPathProblemsinNetworks
v1721	vICGI
v2249	vRelationalandXMLDataExchange
v2248	vPerformanceModelingofCommunicationNetworkswithMarkovChains
v1720	vIGCI
v1723	vICIP
v1722	vICIAR()
v495	vMobiSys
v494	vMobiHoc
v1349	vPRIMA
v1348	vPReMI
v491	vLCTES
v490	vKDD
v493	vMLDM
v492	vMCS
v1343	vOPODIS
v1342	vMobileDataManagement
v1341	vLA-WEB/CLIHC
v1340	vIWPEC
v1347	vPRDC
v1346	vPOLICY
v61	vICFCA
v1344	vPCM
v949	vTPHOLs
v948	vTFM
v943	vSPIRE
v942	vSPAA
v941	vIEEESymposiumonSecurityandPrivacy
v940	vSOSP
v947	vRichardTapiaCelebrationofDiversityinComputingConference
v946	vTABLEAUX
v945	vSWWS
v944	vSSS
v1749	vIndustrialConferenceonDataMining-PosterandIndustryProceedings
v1748	vIntegratedNetworkManagement
v1747	vILP
v1746	viiWAS
v1745	vIICAI
v1744	vDSS
v1743	vPoEM
v1742	vSystemModelingandOptimization
v1741	vDoCEIS
v1740	vCCTA
v547	vSOUPS
v546	vAFRICACRYPT
v545	vASMTA
v544	vCSE
v543	vFAW
v542	vCOCOA
v541	vKES-AMSTA
v540	vWoLLIC
v549	vHAIS
v548	vIWOMP
v1233	vHandbookofAutomation
v1232	vEncyclopediaofDatabaseSystems
v1231	vEncyclopediaofComplexityandSystemsScience
v1230	vIEEET.ServicesComputing
v1237	vAdvancesinMachineLearningII
v1236	vBrain-InspiredInformationTechnology
v1235	vTowardsIntelligentEngineeringandInformationTechnology
v1234	vEncyclopediaofBiometrics
v1239	vMulti-ObjectiveSwarmIntelligentSystems
v1238	vBiomedicalDataandApplications
v1527	vIEEEMicro
v1526	vLOGIN
v1525	vJ.UCS
v1524	vJournalofLogic,LanguageandInformation
v1523	vJ.NetworkSyst.Manage.
v1522	vJournalofMathematicalImagingandVision
v1521	vJ.GraphAlgorithmsAppl.
v1520	vInformationSystemsFrontiers
v1529	vMONET
v1528	vMachineLearning
v150	vSimuTools
v151	vICAART
v152	vMCETECH
v153	vOR
v154	vAppliedArtificialIntelligence
v155	vAppliedCategoricalStructures
v156	vActaInf.
v157	vAdv.Comput.Math.
v158	vAdHocNetworks
v159	vAnnalesdesTélécommunications
v796	vICFP
v797	vICIAP
v794	vICE-B
v795	vICFEM
v792	vICECCS
v793	vICEIS()
v790	vICDCS
v791	vICDCSWorkshops
v798	vICIC()
v799	vICINCO-RA
v2508	vJ.Digit.Inf.
v2509	vMISQuarterly
v2500	vCL&C
v2501	vSci.Ann.Comp.Sci.
v2502	vDataScienceJournal
v2503	vDiscreteMathematics&TheoreticalComputerScience
v2504	vIntelligenzaArtificiale
v2505	vJ.AIS
v2506	vJ.Computer-MediatedCommunication
v2507	vJ.Math.Model.Algorithms
v1835	vSERA(selectedpapers)
v1834	vSERA
v1837	vGreenNetworking
v1836	vSETN
v1831	vSCN
v1830	vDDI
v1833	vSEBD
v1832	vSoftwareEngineering(Workshops)
v1839	vSIGGRAPHEmergingTechnologies
v1838	vApSys
v2474	vIGARSS
v2475	vCSA
v2476	vITI
v2477	vPropertyTesting
v2470	vIMAGAPP
v2471	vENASE
v2472	vCIDU
v2473	vIGARSS()
v2478	vISAmI
v2479	vAdvancesinParallelComputing
v378	vQualityandReliabilityEng.Int.
v379	vComputerScienceReview
v370	vAutomatica
v371	vMultiagentandGridSystems
v372	vJCP
v373	vJSW
v374	vJCM
v375	vJournalofMultimedia
v376	vJTAER
v377	vFrontiersofComputerScienceinChina
v204	vEmpiricalSoftwareEngineering
v205	vEng.Comput.(Lond.)
v206	vIEEEIntelligentSystems
v207	vFormalAsp.Comput.
v200	vIEEEDesign&TestofComputers
v201	vEur.J.Comb.
v202	vElectronicMarkets
v203	vElectr.NotesTheor.Comput.Sci.
v1662	vEmpiricalMethodsinNaturalLanguageGeneration
v208	vFutureGenerationComp.Syst.
v209	vFormalMethodsinSystemDesign
v808	vICTAC
v809	vICVS
v806	vICSOFT()
v807	vICSR
v804	vICSM
v805	vICSOC/ServiceWave
v802	vICISS
v803	vICMI
v800	vICINCO-SPSMC
v801	vICINCO-ICSO
v2098	vInt.J.Hum.Comput.Interaction
v2099	vInt.JournalofNetworkManagement
v2096	vIJBIDM
v2097	vInt.J.Comput.Proc.OrientalLang.
v2094	vFirstMonday
v2095	vInternationalJournalofGeographicalInformationScience
v2092	vElectronicCommerceResearchandApplications
v2093	vEMISAForum
v2090	vACMCrossroads
v2091	vDatenbank-Spektrum
v2258	vDababaseReplication
v2259	vCollaborativeWebSearch:Who,What,Where,When,andWhy
v2254	vOFDMSystemsforWirelessCommunications
v2255	vSparseAdaptiveFiltersforEchoCancellation
v2256	vBroadbandQuantumCryptography
v2257	vDataStreamManagement
v2250	vComputerArchitecturePerformanceEvaluationMethods
v2251	vSchedulingandCongestionControlforWirelessandProcessingNetworks
v2252	vMulti-PitchEstimation
v2253	vUser-CenteredDataManagement
v1376	vMUE
v1377	vAsiaInternationalConferenceonModellingandSimulation
v1374	vBSN
v1375	vICANNGA
v1372	vICSEA
v1373	vICNS
v1370	vWINE
v1371	vWISA
v1736	vICSOCWorkshops
v976	vHAID
v977	vTOOLS()
v974	vWASA
v975	vPRIB
v78	vPAKDD
v79	vPAM
v970	vBSB
v971	vXsym
v74	vMMS
v75	vNetworking
v76	vTMA
v77	vPADL
v70	vIUI
v71	vLFCS
v72	vLoCA
v73	vMMM
v482	vISCA
v951	vTSD
v2334	vTheSmartInternet
v480	vICDM
v1758	vIRCDL
v1759	vIRI
v481	vINTETAIN
v1750	vIndustrialConferenceonDataMining-Workshops
v486	vIWANN()
v1752	vINFOCOM
v1753	vIPCO
v1754	vIPMU
v1755	vIPMU()
v1756	vIPSN
v487	vIWINAC()
v484	vISPASS
v485	vITEE
v572	vYR-SOC
v573	vIEEEDataEng.Bull.
v570	vComputing
v571	vIEEECommunicationsSurveysandTutorials
v576	vGeoInformatica
