v3116	vTradingAgents
v3560	vMobilePlatformsandDevelopmentEnvironments
v5251	vHandbookofNaturalLanguageProcessing
v3291	vTEAR
v5702	vWTS
v5253	vInf.Retr.Journal
v3565	vAPracticalGuidetoTestingWirelessSmartphoneApplications
v1883	vCollaborateCom
v3564	vNSSimulatorforBeginners
v5259	vISMARWorkshops
v1889	vIPCCC
v3659	vAAAISpringSymposium:AgentsthatLearnfromHumanTeachers
v3658	vAAAISpringSymposium:SocialSemanticWeb:WhereWeb.MeetsWeb.
v3653	vAAAISpringSymposium:CognitiveShapeProcessing
v3652	vAAAISpringSymposium:TechnosocialPredictiveAnalytics
v3651	vPACIS
v3650	vJFSMA
v3657	vAAAISpringSymposium:HumanBehaviorModeling
v3656	vAAAISpringSymposium:IntelligentInformationPrivacyManagement
v3655	vAAAISpringSymposium:IntelligentNarrativeTechnologiesII
v3654	vAAAISpringSymposium:LearningbyReadingandLearningtoRead
v1879	vFSMNLP
v1878	vANNPR
v1871	vWIRN
v1870	vWiOpt
v1873	vWOSP/SIPEW
v1872	vINAP/WLP
v1875	vWS-FM
v1874	vWinterSimulationConference
v1877	vPKAW
v1876	vWeavingServicesandPeopleontheWorldWideWeb
v4151	vSERE(Companion)
v4150	vCMMR/FRSM
v4153	vSERE
v4152	vSSIRI(Companion)
v4155	vExpressive
v4154	vVRIC
v4157	vWEWoRC
v4156	vSCCG
v4159	vCD-ARES
v4158	vSeGAH
v3437	vIEEETrans.Biomed.Engineering
v3436	vIJWA
v3435	vTTC
v3434	vLFMTP
v3433	vPDMC
v3432	vINFINITY
v3431	vNeuroImage
v3430	vIEEETrans.Biomed.CircuitsandSystems
v7417	vBiometricsTechnology
v3439	vIEEEGeosci.RemoteSensingLett.
v3438	vSwarmandEvolutionaryComputation
v7410	vMLSLP
v6416	vSimplifiedModelsforAssessingHeatandMassTransferinEvaporativeTowers
v6417	vRobotLearningfromHumanTeachers
v6146	vINFORMST.Education
v6415	vSurviveandThrive:AGuideforUntenuredFaculty
v6140	vSANER
v6141	vCPCR+ITWP@IJCAI
v6410	vDigitalLibrariesApplications
v6143	vFSFMA
v248	vJASIST
v249	vJ.Complexity
v241	vInf.Syst.J.
v242	vit-InformationTechnology
v243	vImageVisionComput.
v244	vJ.ACM
v245	vJ.Algorithms
v246	vJ.AppliedLogic
v247	vJ.Autom.Reasoning
v2746	vBIOID
v2747	vSTAIRS
v2744	vIPTComm
v2213	vInductiveInferenceforLargeScaleTextClassification
v2742	vCriticalInfrastructureProtection
v2743	vICWF
v2740	vCOMMA
v2741	vSummerSim
v2218	vVisualComplexityandIntelligentComputerGraphicsTechniquesEnhancements
v2219	vSmartInformationandKnowledgeManagement
v2748	vFDL
v2749	vICARCV
v6904	vIPOLJournal
v6905	vJoWUA
v6117	vAIDP
v6116	vWorldCIST
v6443	vWMNC/PWC
v6442	vSoftwareSafetyandSecurity
v6113	vDaWak
v6112	vKSE()
v6111	vEANNWorkshops
v6110	vProMAS
v6449	vLAKWorkshops
v6448	vGEFS
v6119	vCSCloud
v6118	vIEEETrans.InformationForensicsandSecurity
v1466	vMICRO
v1467	vNCA
v1464	vISPAN
v1465	vASE
v5149	vEvolutionofCommunicationandLanguageinEmbodiedAgents
v1463	vISORC
v1460	vICDCIT
v1461	vIPAS
v5145	vImageCLEF
v5144	vAugmentedRealityArt
v5147	vCyberpatterns
v5146	vVisualizationandProcessingofHigherOrderDescriptorsforMulti-ValuedData
v5141	vElectronicVisualisationinArtsandCulture
v5140	vTransformingFieldandServiceOperations
v5143	vCISDA
v5142	vProteomeBioinformatics
v4818	vNGEBIS
v4819	vCAiSE(DoctoralConsortium)
v400	vNaturalLanguageEngineering
v401	vJ.FieldRobotics
v406	vToolsandApplicationswithArtificialIntelligence
v407	vIntelligentAgentsintheEvolutionofWebandApplications
v404	vMiningComplexData
v405	vIntelligentTextCategorizationandClustering
v4810	vSEAMS@ICSE
v4811	vWISDOM
v4812	vAAAIWorkshop:TradingAgentDesignandAnalysis
v4813	vAAAIWorkshop:Space,Time,andAmbientIntelligence
v4814	vAAAIWorkshop:StatisticalRelationalArtificialIntelligence
v4815	vAAAI(Late-BreakingDevelopments)
v4816	vCIC
v4817	vCAiSEIndustrialTrack
v5369	vGEMOC+MPM
v5368	vGEMOC+MPM@MoDELS
v5499	vCOIN@AAMAS/PRIMA
v5498	vARE/AVSA@AAMAS
v5361	vEduSymp@MoDELS
v5360	vImage-BasedVisualization:InteractiveMultidimensionalDataExploration
v5363	vDS@MoDELS
v5362	vMoDeVVa@MoDELS
v5365	vME@MoDELS
v5364	vACES-MB&WUCOR@MoDELS
v5367	vMULTI@MoDELS
v5366	vOSSMDE@MoDELS
v745	vERWorkshops
v744	vER
v747	vErlangWorkshop
v746	vECDL
v741	vEMMCVPR
v740	vEGOV
v743	vEPIA
v742	vEMSOFT
v749	vESAW
v748	vERSA
v3454	vDataMining
v2919	vIJSSS
v2918	vIJIDS
v2913	vIJOM
v2912	vIJTEM
v2911	vEURASIPJ.ImageandVideoProcessing
v2910	vEURASIPJ.InformationSecurity
v2917	vInt.J.DigitalMultimediaBroadcasting
v2916	vIJCEE
v2915	vIJFSA
v2914	vIJIMR
v4368	vMicrocontrollerProgrammingandInterfacingTexasInstrumentsMSP,PartI
v4369	vEuroITV
v4362	vAnswerSetSolvinginPractice
v4363	vCircuitAnalysiswithMultisim
v4360	vArduinoMicrocontroller:ProcessingforEveryone!SecondEdition
v4361	vAdvancedCircuitSimulationUsingMultisimWorkbench
v4366	vRepresentationofMultiple-ValuedLogicFunctions
v4367	vSemanticsEmpoweredWeb.
v4364	vAtmelAVRMicrocontrollerPrimer,SecondEdition
v4365	vDataManagementintheCloud
v681	vACMConferenceonComputerandCommunicationsSecurity
v5212	vBigDataService
v3358	vAICCSA
v3359	vLANOMS
v3352	vECIS
v3353	vSWATLS
v3350	vEISIC
v3351	vMBIA
v3356	vICHIT()
v3357	vMobileDataManagement()
v3354	vPSIVT()
v3355	vMIPRO
v7183	vCATS
v7182	vPV
v7181	vICEC(SelectedPapers)
v7180	vIEEETrans.Human-MachineSystems
v7187	vI.J.SpeechTechnology
v7186	vJ.WebScience
v7185	vWCSS
v7184	vAPCHI
v7189	vIWTA@LAK
v7188	vLAK(DataChallenge)
v6328	vICD
v6329	vProfessionalSearchintheModernWorld
v6320	vENSsys@SenSys
v6321	vRealWSN@SenSys
v6322	vBlogTalk
v6323	vicsh
v6324	vSimilarity-basedlearningonstructures
v6325	vVisualizationandMonitoringofNetworkTraffic
v6326	vLearning,PlanningandSharingRobotKnowledgeforHuman-RobotInteraction
v6327	vFIDIS
v7531	vSecurityandTrustinOnlineSocialNetworks
v7459	vNLPAR@LPNMR
v7458	vSoRuCom
v7451	vCUBISTWorkshop
v7450	vDataClustering:AlgorithmsandApplications
v7453	vACloud
v7452	vWCO@FedCSIS
v7455	vNeuralNetworks:TricksoftheTrade(nded.)
v7454	vBioMS
v7457	vAliasinginObject-OrientedProgramming
v7456	vComputationalIssuesinFluidConstructionGrammar
v2005	vPAAMS
v2004	vPRIMIUM
v2006	vWS-REST
v2001	vCompIMAGE
v2000	vNISCO
v2003	vADHOCNETS
v2002	vQuantumComm
v2009	vIMCSIT
v2008	vDESRIST
v6588	vSoMeRA@SIGIR
v6589	vSMIR@SIGIR
v6858	vMobileCloudVisualMediaComputing
v6859	vMSW@ESWC
v6584	vNFMCP
v6585	vDMNLP@PKDD/ECML
v6586	vDARE
v6587	vISR
v6580	vGIIS
v6581	vBM-FA(RevisedSelectedPapers)
v6582	vALCOSP
v6583	vGetMobile
v6917	vBigMM
v1679	vDPM/SETOP
v1678	vESA()
v6916	vJIST(Workshops&Posters)
v1673	vHighPerformanceGraphics
v1672	vEGC(bestofvolume)
v1671	vEDCC-CARS
v1670	vEDCC
v1677	vErshovMemorialConference
v1676	vERPhDColloquium
v1675	vEJC
v1674	vEGOVIS
v6914	vReTIS
v6913	vOAIR
v6912	vBCSInternationalITConferenc
v6911	vCreativeSME
v6910	vHCIS
v1581	vACCV()
v1580	vAAAI
v5802	vSECURIT
v1582	vACG
v5804	vUsARE@RE
v5805	vRET
v5806	vEmpIRE
v1586	vArtificialEvolution
v5808	vRE@RunTime
v5809	vInnovationsinIntelligentMachines
v3631	vESWCWorkshops
v3986	vSMARTGREENS
v3985	vICTD
v3632	vNLPKE
v3983	vRWS
v3634	vParallelToolsWorkshop
v3981	vFOPARA
v3980	vIMR
v3639	vPAAMS(SpecialSessions)
v3638	vCLA
v3989	vGIS-SSO
v3988	vGIS-DMG
v5776	veCrime
v5777	vCompSens
v1855	vIceTAL
v5775	vShallWePlaytheFestschriftGame?
v5772	vBMCMed.Inf.&DecisionMaking
v5773	vNetsCars/NetsTrains/NetsAircraft
v1851	vSUTC/UMC
v1850	vStringology
v5662	vARRAY@PLDI
v5778	vICCP
v1858	vTIME
v5663	vSOAP@PLDI
v5664	vBigDataandInternetofThings
v5665	vDyla@PLDI
v5666	vRecentAdvancesonHybridApproachesforDesigningIntelligentSystems
v4179	vGRAPHITE
v4178	vMeCBIC
v4177	vIJEOE
v4176	vEur.J.Control
v4175	vIEEETrans.ConsumerElectronics
v4174	vEntropy
v4173	vSEARIS
v4172	vISCO
v4171	vIScIDE
v4170	vPDC()
v5336	vTAAI
v3189	vServiceWaveWorkshops
v5337	vAdv.inMath.ofComm.
v3187	vSBPM
v3186	vSFSW
v3185	vOSDI
v3184	vMCM
v3183	vSOSE
v5442	vACL(ConferenceSystemDemonstrations)
v3181	vICTCS
v3180	vEANN/AIAI()
v5335	vLATW
v5332	vCloudDP@EuroSys
v5333	vEDM(Workshops)
v5330	vISWC-DC
v5331	vPaPEC@EuroSys
v2580	vIJISSS
v2581	vIJARAS
v2582	vIJESMA
v2583	vIJGCMS
v2584	vIJICTHD
v2585	vIJISCRAM
v2586	vIJSSOE
v2587	vIJSSMET
v2588	vIJEHMC
v2589	vIJSSE
v266	vJournalofSystemsArchitecture-EmbeddedSystemsDesign
v267	vIEEEJournalonSelectedAreasinCommunications
v264	vJ.Cryptology
v265	vJ.ParallelDistrib.Comput.
v262	vJ.Inf.Sci.Eng.
v263	vJ.Log.Algebr.Program.
v260	vJETC
v261	vJ.Funct.Program.
v268	vJ.Symb.Comput.
v269	vJournalofSystemsandSoftware
v2768	vNESEA
v2769	vBCB
v2764	vINTERSPEECH
v2765	vIntelligentEnvironments(Workshops)
v2766	vIntelligentEnvironments
v2767	vAMIF
v2760	vISSPIT
v2761	vDASIP
v2762	vIHI
v2763	vHotNets
v913	vSC-WHPCF
v95	vTCC
v6469	vACMDEV()
v6468	vMoSEMInA
v6467	vRCoSE
v6466	vSER&IPs
v6465	vCyCAR@CCS
v6464	vSAISMC
v6463	vRoMoCo
v6462	vIJHAC
v6461	vNovelInsightsinAgent-basedComplexAutomatedNegotiation
v6460	vAdvancedIntelligentComputationalTechnologiesandDecisionSupportSystems
v5169	vINDIN
v5168	vIIKI
v1449	vSWPM
v1118	vJournalofComputerSecurity
v1119	vJ.DiscreteAlgorithms
v1116	vJ.BioinformaticsandComputationalBiology
v1117	vJournalofBiomedicalInformatics
v1114	vInteractingwithComputers
v1447	vRTCSA
v5167	vRepliCHI
v1441	vISDA
v1110	vInformation&SoftwareTechnology
v5164	vHandbookofSignalProcessingSystems
v468	vICB
v469	vICCS()
v460	vGECCO(Companion)
v461	vGraphicsInterface
v462	vHCI()
v463	vHPDC
v464	vHypertext
v465	vIbPRIA
v466	vICAIL
v467	vICALP()
v723	vDEXA
v722	vDEBS
v721	vDBPL
v720	vDaWaK
v727	vDIMVA
v726	vDigitalIdentityManagement
v725	vDGCI
v724	vAlgorithmicsofLargeandComplexNetworks
v729	vDescriptionLogics
v728	vDiscoveryScience
v3678	vTheSocialMobileWeb
v4698	vFormaliSE@ICSE
v4699	vBIGDSE@ICSE
v4692	vTOPI@ICSE
v4693	vSER&IP@ICSE
v4690	vSEHC@ICSE
v4691	vMOBILESoft
v4696	vRAISE@ICSE
v4697	vCOUFLESS@ICSE
v4694	vCHASE@ICSE
v4695	vSESENA@ICSE
v5347	vWPA@MobiSys
v5346	vHotPlanet@MobiSys
v5345	vIoT-Sys@MobiSys
v5344	vMobiSysPhDForum
v5343	vDIYNetworking@MobiSys
v5342	vDLT
v5341	vPSYCO
v5340	vSSRR
v5349	vEWDC
v5348	vResearchinComputingScience
v4436	vSafeConfig
v4434	vCSIIRW
v4435	vLanguagesAlive
v4432	vTEAR/PRET
v4433	vMIWAI
v4430	vACITY()
v4431	vAPCCAS
v4438	vGI-Jahrestagung
v4439	vSSGIP
v2971	vDagstuhlReports
v2970	vIJUC
v2973	vJ.Comput.Physics
v2972	vComputers&IndustrialEngineering
v2975	vJ.CellularAutomata
v2974	vJUSPN
v2977	vHandbookofResearchonComputationalForensics,DigitalCrime,andInvestigation
v2976	vJoCG
v2979	vJILSA
v2978	vHandbookofResearchonDigitalLibraries
v1886	vVTCSpring
v3370	vDIMPVT
v3371	vIEEEICCI*CC
v3372	vICCL
v3373	vICDSC
v3374	vMed-Hoc-Net
v3375	vISICA()
v3376	vNGI
v3377	vETFA
v3378	vSFCM
v3379	vDUI
v3188	vVECIMS
v1881	vInt.Sym.Wikis
v2395	vAICS
v2394	vACL(StudentResearchWorkshop)
v2397	vANTSConference
v2396	vANNIIP
v2391	vMCV
v2390	vMICAI(SpecialSessions)
v2393	vACL(ShortPapers)
v2392	vACL
v2399	vComputersandGames
v2398	vBMVC
v5019	vOnlineGreenComm
v1065	vAMW
v1068	vMEDES
v2023	vCAMAD
v2022	vICSI()
v2021	vMMCS
v1069	vIHCI
v2027	vIPCAI
v2026	vHotSWUp
v2025	vMBEES
v2024	vDMO
v2029	vSoCC
v2028	vCOM.Geo
v6874	vFKBI
v6875	vWSBI
v6876	vEUVIP
v6877	vHDSDA
v6870	vUbiComp(AdjunctPublication)
v6871	vUbicomp
v6872	vMobiWIS
v6873	vUbiComp(AdjunctPapers)
v6878	vS+SSPR
v6879	vCSPForum
v1611	vRigorousMethodsforSoftwareConstructionandAnalysis
v1610	vAspectsofNaturalLanguageProcessing
v1613	vBusinessProcessManagementWorkshops
v1612	vConcurrency,Compositionality,andCorrectness
v1615	vIJCAR
v1614	vBPM(Demos)
v1617	vCAINE
v1616	vCAEPIA
v1619	vCARDIS
v1618	vBMMDS/EMMSAD
v7477	vPRSAT@RecSys
v7476	vLATS
v7475	vMMWeb@I-KNOW
v7474	vCIB
v7473	vMOBIHEALTH
v7472	vTheConstraintSatisfactionProblem:ComplexityandApproximability
v7471	vQSTRLib:ABenchmarkProblemRepositoryforQualitativeSpatialandTemporalReasoning
v7470	vQuantitativeSoftwareDesign
v7479	vRecSysChallenge
v7478	vIntRS@RecSys
v6706	vRNDM@WMNC
v6707	vSLTU
v6704	vAI-AM/NetMed@ECAI
v6705	vMM&Sec
v6702	vDARe@ECAI
v6703	vMetaSel@ECAI
v6700	vIEEETrans.EmergingTopicsComput.
v6701	vNOSTRADAMUS
v6708	vCORES
v6709	vRSEISP
v6526	vService-OrientedArchitectureand(Multi-)AgentSystemsTechnology
v6527	vAlgorithmicMethodsforDistributedCooperativeSystems
v6524	vDataProtectioninaProfiledWorld
v6525	vPracticalSoftwareTesting:ToolAutomationandHumanFactors
v3969	vMGC
v3968	vVCIP
v3619	vISCAWorkshops
v3618	vITC
v3965	vIPCAT
v3964	vIntelligentTutoringSystems
v3615	vYearsofFuzzySetTheory
v3966	vBalticHLT
v3961	vAbdominalImaging
v3612	vSoftComputinginGreenandRenewableEnergySystems
v3611	vSoftComputinginHumanitiesandSocialSciences
v3962	vSTACOM
v5758	vEDUCON
v5759	vActiveLearningandExperimentalDesign@AISTATS
v5754	vADPRL
v5755	vCSEDU
v5756	vIEEETrans.Reliability
v5757	vRAIT
v5750	vCoNLLSharedTask
v5751	vEAIEndorsedTrans.ScalableInformationSystems
v5752	vIEEEAccess
v5753	vADKDD@KDD
v3603	vInsiderThreatsinCyberSecurity
v5901	vAPMS()
v2568	vIJAL
v2569	vIJALR
v2566	vIJAEIS
v2567	vIJAGR
v2564	vIJHISI
v2565	vIJAEC
v2562	vIJIIT
v2563	vIJISP
v2560	vIJICTE
v2561	vInt.J.ofAppliedMetaheuristicComputing
v1285	vOn-ChipNetworks
v288	vSIAMJournalofAppliedMathematics
v289	vSIAMJ.Comput.
v284	vPersonalandUbiquitousComputing
v285	vRoboticsandAutonomousSystems
v286	vRandomStruct.Algorithms
v287	vSci.Comput.Program.
v280	vParallelComputing
v281	vPerform.Eval.
v282	vPatternRecognition
v283	vPatternRecognitionLetters
v1280	vTheDatacenterasaComputer:AnIntroductiontotheDesignofWarehouse-ScaleMachines
v1281	vFaultTolerantComputerArchitecture
v2708	vIWQoS
v2709	vBMIBook
v2702	vWCITD/NF
v2703	vINAP
v2700	vCCTA()
v2701	vITEM
v2706	vISVLSI
v2707	vIWAN
v2704	vISCAS
v2705	vICSSP
v3607	vMarketingIntelligentSystemsUsingSoftComputing
v1055	vLORI
v7288	vTRIOS@SOSP
v7289	vHIMA
v7280	vRelationships,Objects,Roles,andQueriesinModernProgrammingLanguages
v7281	vWebApplicationSecurity
v7282	vPerspectivesWorkshop:PreventingtheBrainwareCrisis
v7283	vDistributedUsageControl
v7284	vScalableVisualAnalytics
v7285	vFABULOUS
v7286	vDataU@VLDB
v7287	vYAWLSymposium
v6749	vProgramDevelopmentforExtreme-ScaleComputing
v227	vNeurocomputing
v6741	vTheoryofEvolutionaryAlgorithms
v6747	vGeneralizationofspatialinformation
v229	vInternationalJournalofUncertainty,FuzzinessandKnowledge-BasedSystems
v659	vAPPROX-RANDOM
v658	vAPNOMS
v4986	vFDM
v656	vALT
v4984	vSmartGridComm
v1428	vFMCAD
v1429	vFSKD()
v6949	vDCDP
v1422	vEMS
v1423	vCCA
v1420	vICETC
v1421	vPACCS
v1426	vDICTA
v1427	vECOWS
v1424	vCIKM-PAVLAD
v4983	vEC
v914	vSDLForum
v447	vDevelopmentsinLanguageTheory
v444	vDDECS
v917	vSECRYPT
v910	vSC-GCE
v911	vSC-WORKS
v912	vSC-HPRCTA
v441	vDBSec
v650	vAIED
v918	vInternationalSemanticWebConference
v919	vSenSys
v448	vDSL
v449	vPBFT
v709	vCSL
v708	vCSCWD
v701	vCONCUR
v700	vCOMPSAC()
v703	vCOST/Conference
v702	vCOSIT
v705	vCRIWG
v704	vCP
v707	vCSC
v706	vCRYPTO
v1134	vPresence
v1135	vJ.Scheduling
v5103	viStarT@CAiSE
v5102	vCANDAR
v5105	vComputationalModelingofNarrative
v1131	vMultimediaToolsAppl.
v5107	vControlSystemSynthesis:AFactorizationApproach,PartII
v5106	vContent-basedRetrievalofMedicalImages:Landmarking,Indexing,andRelevanceFeedback
v5109	vControlGridMotionEstimationforEfficientApplicationofOpticalFlow
v5108	vAaronSwartz'sTheProgrammableWeb:AnUnfinishedWork
v1138	vScientificProgramming
v1139	vSoftw.Test.,Verif.Reliab.
v4418	vKMO
v4419	vPARA
v4414	vSMAP
v4415	vROSE
v4416	vHPEC
v4417	vISCSLP
v4410	vAdvancedDynamicModelingofEconomicandSocialSystems
v4411	vEVOLVE
v4413	vIVCNZ
v4184	vMath.Program.Comput.
v386	vTRETS
v4182	vOpenSyst.Inform.Dynam.
v380	vKnowledgeEng.Review
v3328	vAAL
v383	vJ.EmbeddedComputing
v382	vTransactionsonComputationalScience
v2959	vInt.Syst.inAccounting,FinanceandManagement
v2958	vIETComputers&DigitalTechniques
v2957	vIEEET.AutonomousMentalDevelopment
v2956	vIJPOP
v2955	vInt.J.PervasiveComputingandCommunications
v2954	vIJMTIE
v2953	vIJCVIP
v2952	vRASI
v2951	vIEEETrans.Education
v2950	vSIGHITRecord
v3398	vBIC-TA
v3399	vIJNC
v3396	vCAD/Graphics
v3397	vIFL
v3394	vCHItaly
v3395	vIWAAL
v3392	vISUVR
v3393	vIIH-MSP
v3390	vKESE
v3391	vWoT
v2049	vIEEEConf.onIntelligentSystems
v2048	vLOFT
v2041	vSSIRI
v2040	vICSAP
v2043	vLATINCRYPT
v2042	vCOMPENG
v2045	vMOL
v2044	vICWSM
v2047	vMediaForensicsandSecurity
v6812	vCOOP
v6813	vSCSE
v6810	vLogic:AHistoryofitsCentralConcepts
v6811	vSetsandExtensionsintheTwentiethCentury
v6816	vIWP
v6817	vSBST
v6814	vOrdRing@ISWC
v6815	vCCHI
v6818	vMobiArch
v6819	vROBOT
v1639	vCOMOD
v1638	vCOMAD
v1637	vCNSR
v1636	vCommunicationsandMultimediaSecurity
v1635	vCMMR
v1634	vCMMR/ICAD
v1633	vCLUSTER
v1630	vCLEF(NotebookPapers/LABs/Workshops)
v2377	vIJES
v3535	vNGMAST
v7498	vParallelProgramming,ModelsandApplicationsinGridandPPSystems
v2376	vIJITM
v7495	vDMoLD
v7494	vAPPC
v7497	vTowardsHardware-IntrinsicSecurity
v7496	vIEEETrans.BigData
v7491	vE-LKR
v7490	vTweet-Norm@SEPLN
v7493	vEAIEndorsedTrans.e-Business
v7492	vContrastDataMining
v2806	vSCIS
v6728	vFoSSaCS
v6729	vRTA-TLCA
v6310	vDigitaleBildverarbeitung
v6724	vWeb-KR@CIKM
v2373	vIJMR
v6726	vVaSCo@WebSci
v6727	vCoNEXTStudentWorkshop
v6720	vMLSDA@PRICAI
v6721	vTrans.GIS
v6722	vIJSDIR
v6723	vPSBD@CIKM
v1167	vFoundationsandTrendsinHuman-ComputerInteraction
v2803	vBPMN
v1990	vSNA
v1166	vFoundationsandTrendsinTheoreticalComputerScience
v2802	vWIMS
v1165	vFoundationsandTrendsinInformationRetrieval
v5133	vRCRA@AI*IA
v1163	vComputerPhysicsCommunications
v1162	vScholarpedia
v1161	vIEEETransactionsonWirelessCommunications
v1160	vIJDMB
v5710	vPPREW@POPL
v5247	vWETICEWorkshops
v5712	vCEIG
v1093	vDecisionSupportSystems
v1092	vDistributedandParallelDatabases
v1091	vDistributedComputing
v1090	vDATABASE
v1097	vIntell.DataAnal.
v1096	vExpertSyst.Appl.
v1095	vEngineeringLetters
v1094	vEvolutionaryComputation
v5242	vLogic,Rewriting,andConcurrency
v1099	vInformationEconomicsandPolicy
v1098	vIEEESecurity&Privacy
v5243	vAdaLovelaceSymposium
v5240	vFieldsofLogicandComputationII
v1212	vResearchandPracticeinTechnologyEnhancedLearning
v3949	vFacingtheMulticore-Challenge
v3948	vIMDM
v3943	vWoMO
v3942	vCONFENIS
v3941	vBIRWorkshops
v3940	vGLOBECOMWorkshops
v3947	vICOIN
v3946	vPLATEAU
v3945	vSPLASHWorkshops
v3944	vSENSORNETS
v1899	vECSACompanionVolume
v5739	vCIVE
v1893	vFUN
v5733	vQualityIssuesintheManagementofWebInformation
v1891	vIESS
v1890	vEuropeanTestSymposium
v5736	vFuzzyCognitiveMapsforAppliedSciencesandEngineering
v1896	vIEEECongressonEvolutionaryComputation
v1895	vNOCS
v5735	vRecommenderSystemsfortheSocialWeb
v2421	vInternationalSemanticWebConference()
v7403	vOralCommunicationExcellenceforEngineersandScientists
v118	vTangibleandEmbeddedInteraction
v119	vISBRA
v114	vMIRAGE
v115	vARC
v116	vPAISI
v117	vSPECBenchmarkWorkshop
v110	vWALCOM
v111	vICDS
v112	vHRI
v113	vICDCN
v6131	vRuleMLAmerica()
v6422	vAHybridImagination:ScienceandTechnologyinCulturalPerspective
v6133	vREBPM
v2544	vJITR
v2545	vJGIM
v2546	vJECO
v6132	vMERE
v2540	vJAISE
v2541	vIJKSR
v2542	vJ.CasesonInf.Techn.
v2543	vJOEUC
v6135	vSocInfoWorkshops
v2548	vIJWLTT
v2549	vIJWP
v6134	vDPM/QASA@ESORICS
v4065	vICSOFT
v4064	vTPNC
v4067	vVALUETOOLS
v4066	vMBMV
v4061	vIEEESymposiumonSecurityandPrivacyWorkshops
v4060	vFutureSecurity
v4063	vCVM
v4062	vSSV
v6424	vBiomedicalSignalsandSystems
v4069	vAHS
v4068	vWebSci
v3490	vCyberC
v3493	vSpringSim(MMS)
v3492	vSpringSim(HPC)
v3495	vSpringSim(ADS)
v3494	vSpringSim(ANSS)
v3497	vSpringSim(SimAUD)
v3496	vSpringSim(EAIA)
v3499	vSpringSim(CNS)
v3498	vSpringSim(TMS-DEVS)
v2720	vSAM
v2721	vTPCG
v2722	vVAST
v2723	vVECPAR
v2724	vVolumeGraphics
v2725	vVISSOFT
v2726	vVLDBPhDWorkshop
v2727	vVTS
v2729	vVomProjektzumProdukt
v3235	vIAAI
v3234	vICGSEWorkshops
v3237	vLDOW
v3236	vWASPAA
v3231	vICAIC()
v3230	vSEW
v3233	vICGSE
v3232	vICEEI
v3239	vScientificVisualization:Interactions,Features,Metaphors
v3238	vVideoProcessingandComputationalVideo
v4552	vComputat.andVisualiz.inScience
v30	vEACL(StudentResearchWorkshop)
v31	vECBS
v32	vECIR
v33	vEDBT
v34	vEMO
v35	vESOP
v36	vEUROCRYPT
v37	vEuroGP
v38	vEvoCOP
v39	vEvoWorkshops
v932	vSIGGRAPHMusic&Audio
v933	vSIGITEConference
v930	vSIGGRAPHTalks
v931	vSIGGRAPHPosters
v936	vESEC/SIGSOFTFSE
v937	vSIGUCCS
v934	vKEYS
v935	vDBTest
v938	vSLIP
v939	vSymposiumonSolidandPhysicalModeling
v1400	vWIAMIS
v1153	vJ.VisualCommunicationandImageRepresentation
v1402	vSERVICESI
v1151	vWirelessNetworks
v1404	vBIFE
v1157	vIntelligentDecisionTechnologies
v1154	vMicroprocessorsandMicrosystems-EmbeddedHardwareDesign
v5128	vESAIR@CIKM
v5127	vMSSP
v1409	vASONAM
v1158	vIJWMC
v5124	vNetGCooP
v5123	vWhatisGlobalEngineeringEducationFor?TheMakingofInternationalEducators,PartIII
v5122	vHealthCareEngineeringPartI:ClinicalEngineeringandTechnologyManagement
v5121	vWebPageRecommendationModels:TheoryandAlgorithms
v5120	vKeyIssuesRegardingDigitalLibraries:EvaluationandIntegration
v4658	vICINCO
v4659	vEAIEndorsedTrans.Indust.Netw.&Intellig.Syst.
v4656	vCollSec
v4657	vACM-TURING
v4654	vHotSec
v4655	vHealthTech
v4652	vEVT/WOTE
v4653	vUSENIXSecurity
v4650	vCSET
v4651	vHealthSec
v1988	vESIAT
v5389	vCrownCom
v5388	vDV
v5383	vScienceCloud@HPDC
v5382	vPSFW@HPDC
v5381	vIJRIS
v5380	vBusinessProc.Manag.Journal
v5387	vAVSP
v5386	vIEEET.Human-MachineSystems
v5385	vChileCHI
v5384	vDICT@HPDC
v4478	vAI-AM/NetMed@AIME
v4479	vJournalofChemicalInformationandModeling
v4473	vBDA
v4476	vEncyclopediaofComputationalNeuroscience
v4477	vFMSPLE
v4474	vCSO
v4475	vSystemModellingandOptimization
v2621	vNature-InspiredInformaticsforIntelligentApplicationsandKnowledgeDiscovery
v3455	vMatheuristics
v2620	vStrategicAdvancementsinUtilizingDataMiningandWarehousingTechnologies
v3008	vInformaticaDidactica
v3009	vJ.SystemsandIT
v3006	vLibraryHiTech
v3007	vJ.Sel.TopicsSignalProcessing
v3004	vJ.QuantumInformationScience
v3005	vJ.IntelligentSystems
v3002	vRAIRO-OperationsResearch
v3003	vIACRCryptologyePrintArchive
v3000	vIJCCE
v3001	vJ.EnterpriseInf.Management
v4384	vSRIIGlobalConference
v4385	vCOIN@AAMAS&WI-IAT
v4386	vSWQD
v4387	vSTAST
v4380	vICDL-EPIROB
v4381	vAMLTA
v4382	vSBSC
v4383	vSIBGRAPITutorials
v4388	vEIDWT
v4389	vCMCS
v327	vTPLP
v326	vIEEETrans.ParallelDistrib.Syst.
v325	vTOSN
v324	vTOS
v323	vACMTrans.Program.Lang.Syst.
v322	vIEEE/ACMTrans.Netw.
v321	vACMTrans.Math.Softw.
